OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
47,35272.0807,N,202100268,260000,2021/01/04 08:00:00+00,91,3115.9318970977,299.003147542981
48,35303.1109,N,202100324,405000,2021/01/06 08:00:00+00,11,6249.95015788024,349.999345824529
49,36054.1113,N,202100316,395000,2021/01/06 08:00:00+00,11,8763.83380999176,401.917992184021
50,36334.0523,N,202100291,175000,2021/01/04 08:00:00+00,11,6240.80647515375,349.667906802423
51,45044.1114,N,202100336,375000,2021/01/06 08:00:00+00,12,12134.06300823,450.481339392773
52,45153.3932,N,202100311,365000,2021/01/06 08:00:00+00,12,14719.0505819337,503.168937073417
53,45161.0851,N,202100320,349500,2021/01/04 08:00:00+00,11,17889.9157750899,535.43000616926
54,45183.0670,N,202100279,290000,2021/01/05 08:00:00+00,11,6550.4843543662,354.206711836099
55,45222.2171,N,202100273,330000,2021/01/04 08:00:00+00,11,11983.6821267597,445.444262179093
56,45253.6309,N,202100339,465000,2021/01/04 08:00:00+00,11,9394.2545933942,406.963361424948
57,45262.2111,N,202100253,315000,2021/01/04 08:00:00+00,11,9024.17788670535,389.155294918186
58,45283.3523,N,202100337,360000,2021/01/06 08:00:00+00,11,9749.84371398016,409.999131808777
59,45331.3711,N,202100310,440000,2021/01/05 08:00:00+00,11,11422.338952549,422.656733208331
60,45332.9163,N,202100329,341550,2021/01/04 08:00:00+00,11,12893.322889919,523.603040086386
61,55064.0514,N,202100335,115000,2021/01/06 08:00:00+00,18,9312.41496955294,392.002734201841
62,55153.1461,Y,202100265,220000,2021/01/05 08:00:00+00,91,36289.6327127265,795.841406279882
63,56314.1804,Y,202100256,72500,2021/01/04 08:00:00+00,91,15133.7851403952,518.571624060868
64,56364.0295,N,202100271,294000,2021/01/04 08:00:00+00,11,10800.0256779228,430.001462532021
65,15231.4701,Y,202100391,1252500,2021/01/05 08:00:00+00,91,7797.46992398382,370.804398995613
